state,code,Carriers,,,,
Alaska,AK,International Bridge,,,,
Alabama,AL,"Courier Express, Hackbarth",,,,
Arkansas,AR,"Hackbarth, LSO",,,,
Arizona,AZ,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
California,CA,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
Colorado,CO,"IntelliQuick Delivery, OnTrac",,,,
Connecticut,CT,"LaserShip, Pitt Ohio",,,,
District of Columbia,DC,"LaserShip, Pitt Ohio",,,,
Delaware,DE,"LaserShip, Pitt Ohio",,,,
Florida,FL,"Courier Express, Hackbarth, LaserShip",,,,
Georgia,GA,"Courier Express, Hackbarth, LaserShip",,,,
Hawaii,HI,International Bridge,,,,
Iowa,IA,"Pitt Ohio, Spee-Dee Delivery, United Delivery Service",,,,
Idaho,ID,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
Illinois,IL,"Pitt Ohio, Spee-Dee Delivery, United Delivery Service",,,,
Indiana,IN,"LaserShip, Pitt Ohio, United Delivery Service",,,,
Kansas,KS,Hackbarth,,,,
Kentucky,KY,"LaserShip, Pitt Ohio",,,,
Louisiana,LA,"Hackbarth, LSO",,,,
Massachusetts,MA,"LaserShip, Pitt Ohio",,,,
Maryland,MD,"LaserShip, Pitt Ohio",,,,
Maine,ME,Pitt Ohio,,,,
Michigan,MI,"LaserShip (excludes upper peninsula), Pitt Ohio, Spee-Dee Delivery (some cities), United Delivery Service",,,,
Minnesota,MN,"Spee-Dee Delivery, United Delivery Service",,,,
Missouri,MO,"Hackbarth, Pitt Ohio, Spee-Dee Delivery (some cities)",,,,
Mississippi,MS,Hackbarth,,,,
Montana,MT,N/A,,,,
North Carolina,NC,"Courier Express, LaserShip",,,,
North Dakota,ND,Spee-Dee Delivery,,,,
Nebraska,NE,"Pitt Ohio, Spee-Dee Delivery (some cities)",,,,
New Hampshire,NH,"LaserShip, Pitt Ohio",,,,
New Jersey,NJ,"LaserShip, Pitt Ohio",,,,
New Mexico,NM,"GLS (formerly GSO), IntelliQuick Delivery, LSO",,,,
Nevada,NV,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
New York,NY,"LaserShip, Pitt Ohio",,,,
Ohio,OH,"Hackbarth, LaserShip, Pitt Ohio",,,,
Oklahoma,OK,LSO,,,,
Oregon,OR,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
Pennsylvania,PA,"LaserShip, Pitt Ohio",,,,
Rhode Island,RI,"LaserShip, Pitt Ohio",,,,
South Carolina,SC,"Courier Express, LaserShip",,,,
South Dakota,SD,Spee-Dee Delivery,,,,
Tennessee,TN,"Courier Express, Hackbarth",,,,
Texas,TX,"Hackbarth, IntelliQuick Delivery (only El Paso), LSO",,,,
Utah,UT,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
Virginia,VA,"Courier Express, LaserShip, Pitt Ohio",,,,
Vermont,VT,Pitt Ohio,,,,
Washington,WA,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
Wisconsin,WI,"Pitt Ohio, Spee-Dee Delivery, United Delivery Service",,,,
West Virginia,WV,"Hackbarth, LaserShip, Pitt Ohio",,,,
Wyoming,WY,N/A,,,,
